"","datetime","city","country","shape"
"44000",2005-04-29,"jacksonville","us","light"
"14177",2011-11-24,"addison","us","oval"
"769",2002-10-01,"seattle","us","teardrop"
"50933",2006-05-06,"sierra vista","us","unknown"
"83162",2004-09-16,"pasadena","us","unknown"
"44602",2008-04-04,"pekin","us","triangle"
"33828",2007-03-11,"kamas","us","fireball"
"11764",2002-11-19,"bloomington","us","light"
"19697",2009-12-12,"washington","us","oval"
"57140",1996-06-24,"redmond","us",NA
"57393",1995-06-25,"sioux falls","us",NA
"46866",2011-05-14,"plainview","us","triangle"
"58689",1978-06-30,"griffin","us","disk"
"45457",2004-04-09,"lawrenceville","us","cylinder"
"58055",2002-06-28,"winston-salem","us","disk"
"25235",2012-01-25,"tamarac","us","sphere"
"31713",2009-02-25,"seattle","us","oval"
"85790",1997-09-25,"toronto (canada)","ca","light"
"63782",2006-07-16,"coventry (uk/england)","gb","changing"
"79949",2012-08-07,"chino","us","circle"
"62710",2013-07-14,"kettle point (canada)",NA,"cone"
"65376",2008-07-02,"dallas","us","fireball"
"55411",1999-06-18,"galveston","us","formation"
"3486",2000-10-20,"louisville","us","light"
"4334",2011-10-22,"west milton",NA,"light"
"51606",1999-06-10,"tupelo","us","sphere"
"31380",2009-02-23,"san bernardino","us","triangle"
"35580",2006-03-17,"afton",NA,"oval"
"40619",1999-04-14,"milford/milton (between; heading parallel to rout..)",NA,"circle"
"63516",2007-07-15,"winnipeg (canada)","ca","other"
"87541",2004-09-04,"st. augustine","us","cylinder"
"9352",2008-11-01,"los angeles","us","disk"
"72301",2013-08-01,"winterset","us","formation"
"88547",2011-09-08,"north wilkesboro","us","light"
"23916",2007-12-31,"groves","us","other"
"34253",2000-03-12,"sedona","us","other"
"35712",2004-03-18,"melbourne (vic&#44 australia)","au","triangle"
"21652",1996-12-02,"sumner","us",NA
"79622",2010-08-06,"clermont","us","cigar"
"19962",2013-12-13,"princeton","us","circle"
"41403",2012-04-16,"melbourne","us","circle"
"41553",2008-04-17,"croghan","us","formation"
"380",2004-10-11,"san jose","us","light"
"57779",2010-06-26,"corby (uk/england)","gb","other"
"22075",2011-12-22,"palestine/elkhart",NA,"unknown"
"14035",1995-11-24,"portland","us","disk"
"52482",1980-06-01,"buenos aires (argentina)",NA,NA
"71552",2003-08-11,"new westminster (canada)","ca","disk"
"35336",2002-03-16,"rolfe","us","unknown"
"4712",2004-10-24,"bridgeport","us","flash"
"5491",2012-10-27,"springfield","us","flash"
"59943",2005-06-06,"casper","us","rectangle"
"39092",2010-03-07,"london (uk/england)","gb","circle"
"24069",2012-12-31,"anacortes","us","fireball"
"653",1992-10-01,"longview","us","unknown"
"1673",2002-10-14,"manteca","us","light"
"14640",2001-11-27,"farmington (?)","us","oval"
"81776",2002-09-12,"dennisport",NA,"disk"
"1829",2012-10-14,"santa ana/garden grove/irvine/anaheim",NA,"formation"
"64252",2003-07-18,"narberth","us","light"
"1015",2011-10-01,"brownwood","us","unknown"
"24666",2003-01-24,"winnipeg (canada)","ca","unknown"
"9605",2001-11-12,"sydney (nsw&#44 australia)","au","disk"
"32371",2005-02-03,"phoenix","us","fireball"
"29629",2003-02-15,"m&aring;l&oslash;y (norway)",NA,"triangle"
"62132",2013-07-12,"billings","us","flash"
"37264",1996-03-26,"irvine","us","cone"
"19886",2008-12-13,"killingworth","us","fireball"
"21340",1999-12-20,"sweden",NA,"fireball"
"30381",2007-02-19,"littlerock",NA,"circle"
"52388",1977-06-01,"gisborne (new zealand)",NA,"circle"
"65242",2012-07-21,"valdosta","us","circle"
"65246",2012-07-21,"york","us","circle"
"17226",1976-11-07,"auckland (new zealand)",NA,"disk"
"3584",2006-10-20,"providence","us","egg"
"29170",2008-02-13,"cape coral","us","light"
"84758",2000-09-02,"seattle","us","other"
"79016",2002-08-04,"kelowna (canada)","ca","sphere"
"12163",2002-01-01,"oakwood","us","triangle"
"48171",2008-05-20,"tucson","us","disk"
"36717",2012-03-22,"negril (jamaica)",NA,"light"
"49376",2013-05-26,"apopka","us","disk"
"56818",2013-06-22,"winchester","us","disk"
"50272",2001-05-03,"santa monica","us","formation"
"6803",2010-10-03,"beecher","us","light"
"20454",2013-12-15,"fort worth","us","light"
"57440",2001-06-25,"holmes beach","us","light"
"38519",2008-03-04,"missoula","us","triangle"
"5683",2009-10-28,"selah","us",NA
"86686",2013-09-28,"sant monica",NA,"circle"
"48435",1998-05-02,"fort smith",NA,"disk"
"76457",2003-08-23,"midland","us","disk"
"38570",2014-03-04,"oregon city","us","fireball"
"4590",2012-10-23,"fishers","us","light"
"51176",2012-05-07,"lakeland","us","sphere"
"86978",1999-09-30,"chandler (but seemed far away and high in)","us","sphere"
"37987",2007-03-30,"sugar notch","us","triangle"
"55302",2008-06-17,"calexico","us","triangle"
"29583",2000-02-15,"new canaan","us","unknown"
"46804",2004-05-14,"toronto (canada)","ca","unknown"
"47136",2001-05-15,"alsip","us","unknown"
"59731",2010-06-05,"topeka","us",NA
"71561",2004-08-11,"kirkwood (saint louis)","us","other"
"53421",2009-06-12,"columbia","us","disk"
"4629",2013-10-23,"toutle","us","light"
"43646",2006-04-27,"portland","us","oval"
"82820",2002-09-15,"chicago","us","oval"
"75593",2012-08-20,"moses lake","us","triangle"
"3120",2011-10-18,"glendale","us","triangle"
"56252",2001-06-21,"independence","us",NA
"34680",2013-03-13,"florien","us","triangle"
"27397",2001-01-05,"baytown","us","cigar"
"85542",2013-09-23,"conway","us","disk"
"8350",2009-01-10,"bountiful","us","light"
"27877",2011-01-07,"toronto (canada)","ca","light"
"43000",2012-04-23,"stockton(west of)","us","light"
"80895",1999-09-11,"jordon (minneapolis)",NA,"light"
"69635",2013-07-04,"valley stream","us","oval"
"80019",1967-08-08,"middlesboro","us","oval"
"85859",2003-09-25,"san jose","us","triangle"
"31035",2013-02-02,"dallas-fort worth",NA,"unknown"
"62470",1983-07-14,"nelson house (canada)","ca","unknown"
"12400",2010-01-01,"boca raton","us","fireball"
"78968",1996-08-04,"pottstown","us","triangle"
"74956",1996-08-19,"spencer","us","unknown"
"86809",2007-09-29,"west yellowstone",NA,"fireball"
"55996",2002-06-20,"pine grove mills","us","cylinder"
"56273",2004-06-21,"salisbury (uk/england)","gb","cylinder"
"56287",2005-06-21,"santa monica","us","cylinder"
"35460",2012-03-16,"new london","us","triangle"
"52045",1960-06-01,"mardin (turkey)",NA,"unknown"
"67279",2001-07-29,"tucson","us","unknown"
"55995",2002-06-20,"ottawa (canada)","ca","cylinder"
"51219",1995-05-08,"lindsey (canada)",NA,"sphere"
"54055",1967-06-15,"oak ridge","us","sphere"
"83937",2009-09-19,"philadelphia","us","fireball"
"10864",1999-11-16,"jeffersonville","us","fireball"
"17803",2005-11-08,"pleasant hill","us","circle"
"35667",2014-03-17,"brisbane (australia)","au","circle"
"43231",2014-04-24,"naniamo (canada)",NA,"circle"
"46728",2012-05-13,"redding","us","circle"
"48997",2009-05-24,"phoenix","us","circle"
"60866",2005-07-10,"brook park","us","circle"
"65857",2007-07-23,"chicago (east of)","us","cylinder"
"9313",2007-11-01,"pleasanton","us","disk"
"24819",2010-12-04,"yokohama (japan)",NA,"disk"
